Initialized at 2012-07-15 11:29:09.000000
USER:: 4125 | MESSAGE:: TOKEN Read Coookie:: wPrDUuKjRS| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN CODE:: wPrDUuKjRS| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN AUTHENTICATED| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN HASH:: 795a4dbb840c9bda658839e19506b8d9| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN EXPIRES:: 1342366257| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN CODE:: qWITK34n9D| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP ADDRESS - 192.168.2.106| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP ADDRESS - 192.168.2.106| DATE:: 2012-07-15 11:30:57.000000| SERVER:: dev.constellation.tv
USER::  | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-18 09:46:37.000000| SERVER:: dev.constellation.tv
