TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3645][ft: f4m] [curTime: 3742.869][curIndex: 3][Buffer: 31.704][BW: 3256.00][Avg BW: 3011.42][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:02:31.612150 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3654][ft: f4m] [curTime: 3752.3][curIndex: 3][Buffer: 33.14][BW: 4442.00][Avg BW: 3300.77][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:02:41.119162 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3663][ft: f4m] [curTime: 3762.166][curIndex: 4][Buffer: 33.034][BW: 1797.00][Avg BW: 3301.97][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:02:50.948934 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3675][ft: f4m] [curTime: 3774.677][curIndex: 4][Buffer: 30.457][BW: 2180.00][Avg BW: 2770.23][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:03:03.379962 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3699][ft: f4m] [curTime: 3799.424][curIndex: 3][Buffer: 30.652][BW: 4842.00][Avg BW: 3990.42][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:03:28.094177 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3700][ft: f4m] [curTime: 3799.8][curIndex: 3][Buffer: 30.119][BW: 4842.00][Avg BW: 4088.65][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:03:28.606464 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3700][ft: f4m] [curTime: 3800.405][curIndex: 3][Buffer: 29.586][BW: 4842.00][Avg BW: 4088.65][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:03:29.162258 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3701][ft: f4m] [curTime: 3800.866][curIndex: 3][Buffer: 29.062][BW: 4842.00][Avg BW: 4186.87][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:03:29.653532 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3732][ft: f4m] [curTime: 3832.466][curIndex: 3][Buffer: 33.462][BW: 2502.00][Avg BW: 3078.42][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:04:01.217027 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3734][ft: f4m] [curTime: 3834.624][curIndex: 3][Buffer: 31.329][BW: 2502.00][Avg BW: 2927.45][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:04:03.383282 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3743][ft: f4m] [curTime: 3844.466][curIndex: 4][Buffer: 31.446][BW: 1146.00][Avg BW: 2946.42][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:04:13.248853 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3792][ft: f4m] [curTime: 3894.72][curIndex: 4][Buffer: 31.319][BW: 3399.00][Avg BW: 4279.39][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:05:03.393582 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3807][ft: f4m] [curTime: 3910.366][curIndex: 3][Buffer: 27.601][BW: 514.00][Avg BW: 4125.03][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:05:19.190213 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3807][ft: f4m] [curTime: 3910.9][curIndex: 3][Buffer: 29.014][BW: 514.00][Avg BW: 4125.03][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:05:19.682706 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3808][ft: f4m] [curTime: 3911.573][curIndex: 3][Buffer: 28.523][BW: 514.00][Avg BW: 4026.58][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:05:20.166569 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3808][ft: f4m] [curTime: 3912][curIndex: 3][Buffer: 27.99][BW: 514.00][Avg BW: 4026.58][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:05:20.740358 | PORT:: 17095
