TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15744][ft: SMIL] [curTime: 3311.58][curIndex: 1 of 2][Buffer: 36.367 of 20][isBuffering: false][BW: 2002.13][Avg BW: 2087.93][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 412012.8617363344] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 10.809 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:19.968419 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15748][ft: SMIL] [curTime: 3312.67][curIndex: 1 of 2][Buffer: 36.989 of 20][isBuffering: false][BW: 2935.02][Avg BW: 2182.57][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 414661.14790286974] Log Status Timer | DATE:: 2011-12-07 21:25:19.972568 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15751][ft: SMIL] [curTime: 3313.17][curIndex: 1 of 2][Buffer: 37.315 of 20][isBuffering: false][BW: 3251.32][Avg BW: 2393.42][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 419383.69098712446] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 12.407 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:19.973489 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15754][ft: SMIL] [curTime: 3313.71][curIndex: 1 of 2][Buffer: 37.779 of 20][isBuffering: false][BW: 3156.09][Avg BW: 2495.20][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 417801.5640273705] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 12.929 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:20.238253 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15756][ft: SMIL] [curTime: 3314.21][curIndex: 1 of 2][Buffer: 38.41 of 20][isBuffering: false][BW: 2978.37][Avg BW: 2591.24][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 402992.600422833] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 13.447 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:20.748522 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15764][ft: SMIL] [curTime: 3315.75][curIndex: 1 of 2][Buffer: 40.954 of 20][isBuffering: false][BW: 2542.73][Avg BW: 2735.84][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430515.873015873] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 14.986 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:22.282774 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15766][ft: SMIL] [curTime: 3316.29][curIndex: 1 of 2][Buffer: 41.262 of 20][isBuffering: false][BW: 3268.83][Avg BW: 2759.84][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 434319.391634981] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 15.502 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:22.850582 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15769][ft: SMIL] [curTime: 3316.79][curIndex: 1 of 2][Buffer: 41.586 of 20][isBuffering: false][BW: 3227.36][Avg BW: 2827.48][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 420224.1379310345] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 16.011 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:23.370838 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15771][ft: SMIL] [curTime: 3317.29][curIndex: 1 of 2][Buffer: 42.2 of 20][isBuffering: false][BW: 3242.96][Avg BW: 2887.28][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 415911.85112634674] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 16.536 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:23.872726 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15779][ft: SMIL] [curTime: 3318.83][curIndex: 1 of 2][Buffer: 41.333 of 20][isBuffering: false][BW: 1450.19][Avg BW: 2821.72][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 430185.18518518517] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 18.077 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:25.385324 | PORT:: 17094
