TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1199][ft: SMIL] [curTime: 3689.95][curIndex: 0 of 2][Buffer: 25.326 of 20][isBuffering: false][BW: 0.00][Avg BW: 16.62][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 20 > 20 | DATE:: 2011-12-07 00:31:40.762625 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1199][ft: SMIL] [curTime: 3690.53][curIndex: 0 of 2][Buffer: 24.785 of 20][isBuffering: false][BW: 0.00][Avg BW: 16.62][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 26 > 24 | DATE:: 2011-12-07 00:31:41.344705 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1200][ft: SMIL] [curTime: 3691.04][curIndex: 0 of 2][Buffer: 24.285 of 20][isBuffering: false][BW: 0.00][Avg BW: 16.62][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 34 > 24 | DATE:: 2011-12-07 00:31:41.792190 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1200][ft: SMIL] [curTime: 3691.28][curIndex: 0 of 2][Buffer: 23.701 of 20][isBuffering: false][BW: 0.00][Avg BW: 16.62][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 34 > 24 | DATE:: 2011-12-07 00:31:42.372570 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1201][ft: SMIL] [curTime: 3692.07][curIndex: 0 of 2][Buffer: 23.201 of 20][isBuffering: false][BW: 0.00][Avg BW: 16.62][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 34 > 24 | DATE:: 2011-12-07 00:31:42.882515 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1201][ft: SMIL] [curTime: 3692.58][curIndex: 0 of 2][Buffer: 26.208 of 20][isBuffering: false][BW: 0.00][Avg BW: 16.62][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 32 > 24 | DATE:: 2011-12-07 00:31:43.463319 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1202][ft: SMIL] [curTime: 3692.99][curIndex: 0 of 2][Buffer: 29.734 of 20][isBuffering: false][BW: 118.84][Avg BW: 20.45][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 31 > 24 | DATE:: 2011-12-07 00:31:43.984974 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1202][ft: SMIL] [curTime: 3693.64][curIndex: 0 of 2][Buffer: 31.951 of 20][isBuffering: false][BW: 118.84][Avg BW: 20.45][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 29 > 24 | DATE:: 2011-12-07 00:31:44.475732 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1203][ft: SMIL] [curTime: 3694.02][curIndex: 0 of 2][Buffer: 35.124 of 20][isBuffering: false][BW: 116.89][Avg BW: 24.22][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 27 > 24 | DATE:: 2011-12-07 00:31:45.164340 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1203][ft: SMIL] [curTime: 3694.57][curIndex: 0 of 2][Buffer: 37.099 of 20][isBuffering: false][BW: 116.89][Avg BW: 24.22][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 26 > 24 | DATE:: 2011-12-07 00:31:45.645388 | PORT:: 17093
