TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23167][ft: SMIL] [curTime: 5111.15][curIndex: 0 of 2][Buffer: 36.709 of 20][isBuffering: false][BW: 556.96][Avg BW: 494.02][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:17.275332 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23169][ft: SMIL] [curTime: 5111.71][curIndex: 0 of 2][Buffer: 36.125 of 20][isBuffering: false][BW: 556.96][Avg BW: 504.72][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:17.827053 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23171][ft: SMIL] [curTime: 5112.22][curIndex: 0 of 2][Buffer: 35.667 of 20][isBuffering: false][BW: 556.96][Avg BW: 515.43][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:18.342907 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23173][ft: SMIL] [curTime: 5112.87][curIndex: 0 of 2][Buffer: 35 of 20][isBuffering: false][BW: 556.96][Avg BW: 526.13][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:18.976985 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23175][ft: SMIL] [curTime: 5113.43][curIndex: 0 of 2][Buffer: 34.459 of 20][isBuffering: false][BW: 556.96][Avg BW: 536.83][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:19.516347 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23178][ft: SMIL] [curTime: 5113.99][curIndex: 0 of 2][Buffer: 33.875 of 20][isBuffering: false][BW: 556.96][Avg BW: 547.53][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:20.078133 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23180][ft: SMIL] [curTime: 5115.01][curIndex: 0 of 2][Buffer: 32.917 of 20][isBuffering: false][BW: 556.96][Avg BW: 558.23][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:21.101037 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23182][ft: SMIL] [curTime: 5115.80][curIndex: 0 of 2][Buffer: 32.125 of 20][isBuffering: false][BW: 556.96][Avg BW: 568.93][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:21.889357 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23184][ft: SMIL] [curTime: 5116.35][curIndex: 0 of 2][Buffer: 31.5 of 20][isBuffering: false][BW: 556.96][Avg BW: 579.63][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:23.172020 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23187][ft: SMIL] [curTime: 5117.19][curIndex: 0 of 2][Buffer: 30.667 of 20][isBuffering: false][BW: 556.96][Avg BW: 590.33][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:23.275365 | PORT:: 17094
