TICKET:: BUVgA2ZShF | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1229][ft: SMIL] [curTime: 2429.79][curIndex: 0 of 2][Buffer: 580.621 of 20][isBuffering: false][BW: 1240.07][Avg BW: 964.46][Peak BW: 3329.19 : Estimated RAW Max Bytes Per Second: 431648.25581395347] Displaying message - Your BW is Low: 964.46 | DATE:: 2011-12-07 21:10:41.560983 | PORT:: 17094
TICKET:: noX823PuLL | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 968][ft: SMIL] [curTime: 2424.71][curIndex: 0 of 2][Buffer: 36.449 of 20][isBuffering: false][BW: 250.17][Avg BW: 1000.92][Peak BW: 4184.43 : Estimated RAW Max Bytes Per Second: 447083.6653386454] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 26 > 24 | DATE:: 2011-12-07 21:10:41.580123 | PORT:: 17094
TICKET:: noX823PuLL | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 968][ft: SMIL] [curTime: 2424.71][curIndex: 0 of 2][Buffer: 36.449 of 20][isBuffering: false][BW: 250.17][Avg BW: 1016.08][Peak BW: 4184.43 : Estimated RAW Max Bytes Per Second: 447083.6653386454] Displaying message - Your BW is Low: 1016.08 | DATE:: 2011-12-07 21:10:41.580781 | PORT:: 17094
TICKET:: BUVgA2ZShF | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1229][ft: SMIL] [curTime: 2429.79][curIndex: 0 of 2][Buffer: 580.621 of 20][isBuffering: false][BW: 433.14][Avg BW: 960.84][Peak BW: 3329.19 : Estimated RAW Max Bytes Per Second: 167832.39436619717] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 104 > 24 | DATE:: 2011-12-07 21:10:41.581444 | PORT:: 17094
TICKET:: LWTt2DswVD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 856][ft: SMIL] [curTime: 2421.63][curIndex: 0 of 2][Buffer: 40.833 of 20][isBuffering: false][BW: 149.63][Avg BW: 1004.41][Peak BW: 3830.05 : Estimated RAW Max Bytes Per Second: 379771.875] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 56 > 24 | DATE:: 2011-12-07 21:10:41.586018 | PORT:: 17094
TICKET:: uxv2Y9mksB | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 836][ft: SMIL] [curTime: 2416.29][curIndex: 0 of 2][Buffer: 447.123 of 20][isBuffering: false][BW: 1365.23][Avg BW: 967.08][Peak BW: 3085.10 : Estimated RAW Max Bytes Per Second: 461079.1556728232] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 177 > 24 | DATE:: 2011-12-07 21:10:41.726048 | PORT:: 17094
TICKET:: Rna33p8QhV | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1312][ft: SMIL] [curTime: 2432.50][curIndex: 0 of 2][Buffer: 24.193 of 20][isBuffering: false][BW: 1373.55][Avg BW: 1155.05][Peak BW: 3556.66 : Estimated RAW Max Bytes Per Second: 463590.55118110235] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 57 > 24 | DATE:: 2011-12-07 21:10:41.777568 | PORT:: 17094
TICKET:: 7KXgHeG88U | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 245][ft: SMIL] [curTime: 2411.51][curIndex: 0 of 2][Buffer: 24.958 of 20][isBuffering: false][BW: 971.24][Avg BW: 757.85][Peak BW: 1977.58 : Estimated RAW Max Bytes Per Second: 488214.85411140585] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 75 > 24 | DATE:: 2011-12-07 21:10:41.784427 | PORT:: 17094
TICKET:: wqFpC42oZA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 287][ft: SMIL] [curTime: 2412.63][curIndex: 0 of 2][Buffer: 270.257 of 20][isBuffering: false][BW: 1407.04][Avg BW: 1276.92][Peak BW: 1504.89 : Estimated RAW Max Bytes Per Second: 850485.8490566037] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 243 > 24 | DATE:: 2011-12-07 21:10:41.850574 | PORT:: 17094
TICKET:: BUVgA2ZShF | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1229][ft: SMIL] [curTime: 2429.79][curIndex: 0 of 2][Buffer: 580.621 of 20][isBuffering: false][BW: 1240.07][Avg BW: 964.46][Peak BW: 3329.19 : Estimated RAW Max Bytes Per Second: 431648.25581395347] [videoView][DEBUG]Detected FPS <1 FPS zero count 1 currentFPS: 0.70 | DATE:: 2011-12-07 21:10:41.861294 | PORT:: 17094
