TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1591][ft: SMIL] [curTime: 1630.458][curIndex: 0][Buffer: 13.584][BW: 0.00][Avg BW: 46.25][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 10 > 10 | DATE:: 2011-12-06 23:57:29.740995 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1592][ft: SMIL] [curTime: 1631][curIndex: 0][Buffer: 13.073][BW: 0.00][Avg BW: 46.25][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 2 at 2000 kbps | DATE:: 2011-12-06 23:57:30.331932 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1592][ft: SMIL] [curTime: 1631][curIndex: 0][Buffer: 13.073][BW: 0.00][Avg BW: 46.25][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 2 at 2000 kbps | DATE:: 2011-12-06 23:57:30.339886 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1595][ft: SMIL] [curTime: 1634.522][curIndex: 0][Buffer: 9.654][BW: 0.00][Avg BW: 46.26][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-06 23:57:34.057411 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1595][ft: SMIL] [curTime: 1634.522][curIndex: 0][Buffer: 9.654][BW: 0.00][Avg BW: 46.26][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-06 23:57:34.063227 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1595][ft: SMIL] [curTime: 1634.522][curIndex: 0][Buffer: 9.654][BW: 0.00][Avg BW: 46.26][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-06 23:57:34.082732 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1596][ft: SMIL] [curTime: 1635.126][curIndex: 0][Buffer: 9.813][BW: 142.99][Avg BW: 50.88][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 0 at 1000 kbps | DATE:: 2011-12-06 23:57:34.489740 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1596][ft: SMIL] [curTime: 1635.126][curIndex: 0][Buffer: 9.813][BW: 142.99][Avg BW: 50.88][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 0 at 1000 kbps | DATE:: 2011-12-06 23:57:34.495385 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1597][ft: SMIL] [curTime: 1636.055][curIndex: 0][Buffer: 11.08][BW: 471.51][Avg BW: 58.55][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-06 23:57:35.564732 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1597][ft: SMIL] [curTime: 1636.055][curIndex: 0][Buffer: 11.08][BW: 471.51][Avg BW: 58.55][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-06 23:57:35.570841 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1597][ft: SMIL] [curTime: 1636.055][curIndex: 0][Buffer: 11.08][BW: 471.51][Avg BW: 58.55][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-06 23:57:35.593617 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1598][ft: SMIL] [curTime: 1636.844][curIndex: 0][Buffer: 13.288][BW: 209.92][Avg BW: 61.05][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:36.255803 | PORT:: 17093
