TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 756][ft: SMIL] [curTime: 166.23][curIndex: 0 of 2][Buffer: 35.125 of 20][isBuffering: false][BW: 181.34][Avg BW: 570.97][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 559072.8155339806] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:32:52.226366 | PORT:: 17094
TICKET:: kYoKxNuRwc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 160][ft: SMIL] [curTime: 166.96][curIndex: 0 of 2][Buffer: 39.292 of 20][isBuffering: false][BW: 478.50][Avg BW: 571.94][Peak BW: 3359.72 : Estimated RAW Max Bytes Per Second: 665326.7973856209] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 1 failure(s) and only 16.903 seconds have passed since the last failure. | DATE:: 2011-12-07 20:32:52.280767 | PORT:: 17094
TICKET:: jboJHQveix | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 417][ft: SMIL] [curTime: 163.82][curIndex: 0 of 2][Buffer: 29.583 of 20][isBuffering: false][BW: 173.57][Avg BW: 229.74][Peak BW: 4139.31 : Estimated RAW Max Bytes Per Second: 580518.1347150259] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 2 failure(s) and only 21.955 seconds have passed since the last failure. | DATE:: 2011-12-07 20:32:52.426128 | PORT:: 17094
TICKET:: wPq3pP6fEe | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 131][ft: SMIL] [curTime: 165.56][curIndex: 0 of 2][Buffer: 27.93 of 20][isBuffering: false][BW: 2811.97][Avg BW: 298.49][Peak BW: 2991.29 : Estimated RAW Max Bytes Per Second: 419012.8055878929] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.428741 | PORT:: 17094
TICKET:: wPq3pP6fEe | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 131][ft: SMIL] [curTime: 165.56][curIndex: 0 of 2][Buffer: 27.93 of 20][isBuffering: false][BW: 2811.97][Avg BW: 298.49][Peak BW: 2991.29 : Estimated RAW Max Bytes Per Second: 419012.8055878929] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.429751 | PORT:: 17094
TICKET:: wPq3pP6fEe | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 131][ft: SMIL] [curTime: 165.56][curIndex: 0 of 2][Buffer: 27.93 of 20][isBuffering: false][BW: 2811.97][Avg BW: 298.49][Peak BW: 2991.29 : Estimated RAW Max Bytes Per Second: 419012.8055878929] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.454584 | PORT:: 17094
TICKET:: GZXW5NMdVv | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 481][ft: SMIL] [curTime: 167.46][curIndex: 0 of 2][Buffer: 23.625 of 20][isBuffering: false][BW: 164.16][Avg BW: 272.27][Peak BW: 3421.90 : Estimated RAW Max Bytes Per Second: 537056.7010309278] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 19 > 10 | DATE:: 2011-12-07 20:32:52.560364 | PORT:: 17094
TICKET:: F2RbzGiBaD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 55][ft: SMIL] [curTime: 156.50][curIndex: 0 of 2][Buffer: 34.583 of 20][isBuffering: false][BW: 551.85][Avg BW: 909.65][Peak BW: 1915.73 : Estimated RAW Max Bytes Per Second: 598787.356321839] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 45 > 24 | DATE:: 2011-12-07 20:32:52.587747 | PORT:: 17094
TICKET:: 9uzNYgRgA3 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 517][ft: SMIL] [curTime: 166.58][curIndex: 0 of 2][Buffer: 27.917 of 20][isBuffering: false][BW: 228.19][Avg BW: 526.81][Peak BW: 3149.18 : Estimated RAW Max Bytes Per Second: 380784.7682119205] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 35 > 24 | DATE:: 2011-12-07 20:32:52.669395 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 758][ft: SMIL] [curTime: 166.79][curIndex: 0 of 2][Buffer: 34.584 of 20][isBuffering: false][BW: 181.34][Avg BW: 554.15][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 559072.8155339806] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:32:52.761405 | PORT:: 17094
